2017-12-19 00:29:16,942914696402915328,"Senior Apparel Designer: Tentree International Inc. (Vancouver BC): ""is where you come in. t.. #vancouver #eluta https://t.co/98QmIHpyuF"
2017-12-18 21:56:50,942876334828666880,"RT @AmericanForests: Urban forests save money, improve our health, lower stress, and so much more. Tell congress to protect @forestservice'…"
2017-12-18 18:49:55,942829293276504064,@Mo_Boston_ Hey Morgan. So sorry to hear you've had this issue with shipping! Please reach out to our customer supp… https://t.co/nbyA96bVd2
2017-12-18 18:49:11,942829109243023360,@Mo_Boston_ @themissbexx Good question. Could you email our customer support team with more information? They'd be… https://t.co/kUALbh6HMO
2017-12-18 04:05:02,942606607271284736,I can't thank @tentree enough for the opportunity to come to this incredible place. Forever thankful for my time in… https://t.co/WM8lze7FM6
2017-12-18 00:13:38,942548374724730880,@themissbexx @tentree I wish! My presents have been sitting somewhere in Compton since Dec 9th ! WTF 😤
2017-12-18 00:10:08,942547491412615168,RT @boathousestores: Wear head to toe tentree this winter and give back. @tentree #tentree #headtotoe #comfy #selfieSunday #wintervibes htt…
2017-12-17 23:54:51,942543647630872577,"@tentree my package has been sitting in a delivery center in Compton, CA since Dec 9th..... i ordered it for Christ… https://t.co/KoxbL9wWcy"
2017-12-17 23:30:13,942537447757570050,Wear head to toe tentree this winter and give back. @tentree #tentree #headtotoe #comfy #selfieSunday #wintervibes https://t.co/EPtkeJfTRc
2017-12-17 23:00:36,942529993401421824,"tesla provides solar power to puerto rico hospital left in the dark: https://t.co/V0XLbXCtYy 

#Solar #SolarPower #ReneableEnergy"
2017-12-17 21:16:49,942503877466877952,Gifts for the fellas in your life! #sneakers #snapback #tentree #planttentrees #makeadifference… https://t.co/JYYa27waJB
2017-12-16 23:45:51,942178991829606400,"Tesla https://t.co/JMHbqbXfi8 @elonmusk @Tesla 
Wonderful."
2017-12-16 20:49:32,942134621474607104,📷 optically-aroused: tentree A storm gathering above the clouds 🌩 PC: @santiagoborja https://t.co/GZMP0cAGVM
2017-12-16 20:12:52,942125392810467328,"GIFT IDEA: Suquet Home proudly carries @tentree tree women's, men's and unisex clothing and… https://t.co/dXCIrKyXpz"
2017-12-16 14:14:48,942035281829662720,"RT @EarthPix: Just puppies at heart, Kelly Lund and Loki / Photo by @tentree https://t.co/cSfRGkHKNF"
2017-12-16 07:58:27,941940573237325824,RT @forgood_co: Reforestation efforts at @tentree are combined with education on sustainable practices and community jobs globally.  The co…
2017-12-16 05:01:27,941896029082861568,tentree's photo https://t.co/kXQNpksrEq
2017-12-16 03:25:05,941871775276711936,Tentree Celebrates 15 Million Trees Planted Globally in First Five Years of Business: Tentree Celebrates 15 Million… https://t.co/zLm2Lwh5SD
2017-12-16 03:14:33,941869127546765312,Ten days till Christmas! Wahoooooo! #tentree #christmastime https://t.co/FJW48gm5rx
2017-12-15 22:22:55,941795734214594560,"RT @TheGearJunkie: Rad gear from @swellbottle, @tentree, @WylderGoods, and more. These gifts will make the outdoorswoman in your life jump…"
2017-12-15 21:20:06,941779927875059717,@tentree's site offers an interactive map that allows customers to see the global good of their purchases.  Their g… https://t.co/MFIHJP28tC
2017-12-15 19:08:49,941746886322671617,"Ten Tree gifts! Make a difference, plant ten trees for every item purchased! #tentree… https://t.co/uKY3nKHBga"
2017-12-15 18:44:38,941740800848773120,RT @forgood_co: Reforestation efforts at @tentree are combined with education on sustainable practices and community jobs globally.  The co…
2017-12-15 17:30:37,941722173579853824,Don't let a little wet weather stop you. Head out in an essential tentree hat. @tentree #tentree #wetweather #tgif… https://t.co/uYxjbtFlzO
2017-12-15 17:22:51,941720221227802624,"RT @TheGearJunkie: Rad gear from @swellbottle, @tentree, @WylderGoods, and more. These gifts will make the outdoorswoman in your life jump…"
2017-12-15 17:00:35,941714616098480128,Reforestation efforts at @tentree are combined with education on sustainable practices and community jobs globally.… https://t.co/tjlXAFbIey
2017-12-15 15:01:01,941684525737922560,"Rad gear from @swellbottle, @tentree, @WylderGoods, and more. These gifts will make the outdoorswoman in your life… https://t.co/6xrhdxxnOz"
